id,latitude,longitude
1,-7.576889724791525,-72.55396922070264
2,-7.526730406144661,-72.56263670079775
3,-7.543823055017448,-72.54025236371345
4,-7.531851499574006,-72.59892991012073
5,-7.522826852306244,-72.59647746400333
6,-7.525191819084579,-72.58629672588022
7,-7.536929613846045,-72.53356915236294
8,-7.526303224233052,-72.59168795348603
9,-7.5697533695367545,-72.53563025913851
10,-7.552387887226022,-72.52635857005457
11,-7.55207744029062,-72.53923135230477
12,-7.520111946455166,-72.58750924330444
13,-7.5777467696745475,-72.54166784309935
14,-7.543465213460766,-72.56387591784784
15,-7.57783433140258,-72.53048965332111
16,-7.550220713995031,-72.55033170917662
17,-7.55073163960828,-72.53368027881218
18,-7.561349568889902,-72.60845469474019
19,-7.570573618080422,-72.53801818287081
20,-7.530292544993899,-72.54675893314413
21,-7.530126748531657,-72.57543376552546
22,-7.529652398744392,-72.6120015118864
23,-7.550218645931903,-72.52967948425102
24,-7.5460896931845545,-72.55230928549358
25,-7.545897731907722,-72.54359632911225
26,-7.529904800452898,-72.58889566621151
27,-7.540896761816058,-72.51771841802432
28,-7.528949786915469,-72.5817227739809
29,-7.546656349581537,-72.56153361482775
30,-7.566277155211203,-72.53941062101961
31,-7.547307989649131,-72.56752692653792
32,-7.5374170587185985,-72.60493955388353
33,-7.528782368808808,-72.53991511976888
34,-7.552338674940352,-72.57261561495022
35,-7.5812373242897,-72.53996525483278
36,-7.520771886629064,-72.58364671978605
37,-7.564224852417253,-72.5775450817584
38,-7.564598678768969,-72.60870595939937
39,-7.556070354732427,-72.53094385067965
40,-7.517097450761583,-72.60875666677507
